epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.03414261341094971,3.2612874507904053,0.001,0.04264998435974121,3.2577195167541504
1,0.039563488215208054,3.259730577468872,0.001,0.04065965488553047,3.2581496238708496
2,0.0356355756521225,3.2586073875427246,0.001,0.03468865528702736,3.2581920623779297
3,0.0342848002910614,3.258592128753662,0.001,0.04065965488553047,3.2577080726623535
4,0.038674820214509964,3.258516311645508,0.001,0.036110322922468185,3.2580668926239014
5,0.03735959157347679,3.2585535049438477,0.001,0.03468865528702736,3.258286714553833
6,0.032720744609832764,3.258596658706665,0.001,0.03298265486955643,3.258622407913208
7,0.035617802292108536,3.258554220199585,0.001,0.04037531837821007,3.2581560611724854
8,0.037484005093574524,3.25856876373291,0.001,0.04151265323162079,3.257549524307251
9,0.03712853789329529,3.2585642337799072,0.001,0.04520898312330246,3.258577585220337
10,0.03872814029455185,3.2585532665252686,0.001,0.04009098559617996,3.258368730545044
11,0.036703210324048996,3.257276773452759,0.001,0.03468865528702736,3.25783634185791
