epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.24711990356445312,2.4116320610046387,0.001,0.45360156893730164,1.6464474201202393
1,0.4083644449710846,1.748986005783081,0.001,0.6093446016311646,1.1638320684432983
2,0.4891286790370941,1.48072350025177,0.001,0.6437378525733948,1.0311976671218872
3,0.5402401685714722,1.3050049543380737,0.001,0.7053861021995544,0.91069096326828
4,0.5754097104072571,1.1925843954086304,0.001,0.7352368831634521,0.758160412311554
5,0.6014927625656128,1.1203951835632324,0.001,0.7579494118690491,0.6986103653907776
6,0.6171507239341736,1.075654149055481,0.001,0.7800129652023315,0.5994720458984375
7,0.6425036787986755,1.011887550354004,0.001,0.8079169392585754,0.5706126093864441
8,0.6513873338699341,0.9768838286399841,0.001,0.8066191077232361,0.5752349495887756
9,0.6648953557014465,0.9468919038772583,0.001,0.8332251906394958,0.5077736973762512
10,0.6835550665855408,0.8958758115768433,0.001,0.8533419966697693,0.45885294675827026
