epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8413906097412109,0.5241487622261047,0.001,0.8510093688964844,0.45781251788139343
1,0.9233790636062622,0.25188109278678894,0.001,0.9616150259971619,0.13317017257213593
2,0.9416500926017761,0.19530902802944183,0.001,0.9664486646652222,0.11518508195877075
3,0.9523140788078308,0.15895257890224457,0.001,0.9727039933204651,0.0954638347029686
4,0.9557265639305115,0.1488824486732483,0.001,0.9476826786994934,0.20858074724674225
5,0.9606497883796692,0.1308010369539261,0.001,0.97952800989151,0.06077098846435547
6,0.9658040404319763,0.11401092261075974,0.001,0.9715666770935059,0.4075844883918762
7,0.968665599822998,0.10703440010547638,0.001,0.9911856651306152,0.03838494420051575
8,0.972913384437561,0.08945103734731674,0.001,0.9738413691520691,0.06581500917673111
9,0.9725401401519775,0.08932066708803177,0.001,0.3903895318508148,5.7546000480651855
10,0.9729489684104919,0.09283067286014557,0.001,0.9852146506309509,0.05792270600795746
